name,sexo
ALINE,0
ARAO,1
ARON,1
ADA,0
ABADE,1
ABADI,1
ABADIA,0
ABADIAS,1
ABADIO,1
ADETE,1
ABD,1
ABDA,0
ABDIEL,1
ABDALA,1
ABDALLA,1
ABDALLA,1
ABDAO,1
ABDER,1
ABDIEL,1
ABDIEL,1
ABDENAGO,1
ABDENEGO,1
ABDENICO,1
ABDENIGO,1
ABDENIO,1
ABDENOR,1
ABDER,1
ABDERMAN,1
ABDI,1
ABDIA,1
ABDIAS,1
ABDIEL,1
ABDISIO,1
ABDNEGO,1
ABDO,1
ABDON,1
ABDON,1
ABDORAL,1
ABDU,1
ABDIEL,1
ADER,1
ADECIO,1
ABEDENEGO,1
ABEDIAS,1
ADEBAL,1
ABEDNEGO,1
ABEDON,1
ABEGAIL,0
ADEJAIR,0
ABELARD,1
ADEILDO,1
ADAILTON,1
ABEL,1
ADELAR,0
ADELAR,1
ABELARD,1
ABELARDA,0
ABELARDO,1
ADELIR,0
ADELICE,0
ADELICIA,0
ADELINA,0
ADELINO,1
ABILIO,1
ADELIRIO,1
ADELITA,0
ADELMA,1
ADILHO,1
ADILHO,1
ADILSON,1
ADEMIL,1
ADEMOR,1
ABENAIAS,1
ADENAIDE,0
ADENAIR,0
ADENILDO,1
ABENER,1
ADENIR,1
ADENIL,1
ABENER,1
ADENEVALDO,1
ADENIR,1
ADENIAS,1
ADENICIO,1
ADENIL,1
ADENILDE,0
ADENILDES,0
ADENILDO,1
ADENILSON,1
ADENILTON,1
ADENILZA,0
ADENIR,1
ADENITA,0
ADENIZA,0
ADENISIA,0
ABENONE,1
ADENOR,1
ADERALDO,1
ADERCIO,1
ABERLADO,1
ADERLAN,1
ADERLANDIA,0
ABERLARDO,1
ADERLINDO,1
ADERSON,1
ADERVAL,1
ADETINO,1
ADEVALDO,1
ABGAIL,0
ADJAIR,0
ABNER,1
ADIR,1
ADAIR,0
ABEL,0
ADIANA,0
ADIANE,0
ABIAS,1
ABIATAR,1
ADIB,1
ABIDA,0
ABIDAN,1
ABIDAO,1
ABIDENOR,1
ABIDERMAN,1
ABIDIAS,1
ABIDIEL,1
ABIDON,1
ABIDON,1
ABIDORAL,1
ABEL,1
ABIEZER,1
ABIGAIL,0
ABIGAIR,0
ABIGAIU,0
ABIGAIL,0
ADELAR,0
ADELANE,0
ADEILDE,0
